period,Company,Open,Highest,Lowest,Close,Change,Change %,Volume Traded,Value Traded
1 Year,ALBABTAIN,37.55,68.8,35.8,68.7,31.15,82.96,"138,661,405","36,088,778.80"
1 Year,RASAN,72.97,122,67.59,118,45.03,61.71,"175,935,178","146,571,411.40"
1 Year,SAUDI CABLE,85.70,160,82.9,133.7,48,56.01,"30,181,174","2,696,801.60"
1 Year,CENOMI RETAIL,12.30,35.38,10.08,19.01,6.71,54.55,"699,871,219","17,007,666.69"
1 Year,EIC,7.84,12.16,4.89,11.25,3.41,43.49,"1,272,811,422","17,375,090.24"
1 Year,BAHRI,21.80,32.5,20.64,29.5,7.7,35.32,"193,795,434","10,447,290.52"
1 Year,ABO MOATI,30.50,53.95,29.7,39.94,9.44,30.95,"96,932,630","13,365,562.50"
1 Year,ALMAWARID,107.40,157.6,103.8,137.5,30.1,28.03,"18,583,874","5,977,743.70"
1 Year,ETIHAD ETISALAT,53.80,69,51.5,64.45,10.65,19.80,"263,455,723","52,207,618.70"
1 Year,SEERA,22.96,31.6,20.68,27.02,4.06,17.68,"319,214,109","12,342,183.24"
1 Year,MAADEN,51.40,68.45,37.85,59.55,8.15,15.86,"528,986,508","89,644,038.40"
1 Year,AMAK,70.10,81.65,46.8,80.1,10,14.27,"69,895,010","20,565,502.85"
1 Year,ALMOOSA,146.00,212,126.6,166.5,20.5,14.04,"41,411,629","2,664,996.10"
1 Year,SENAAT,32.05,48.85,26.3,36.54,4.49,14.01,"159,190,529","35,742,527.94"
1 Year,ANB,19.64,26.26,19.46,22.17,2.53,12.88,"377,914,783","13,669,399.73"
1 Year,SNB,33.35,41,31.55,36.62,3.27,9.81,"1,210,411,899","109,556,069.06"
1 Year,SHL,16.58,24.9,15.68,17.8,1.22,7.36,"58,061,623","1,082,641.40"
1 Year,STC,39.70,48.3,39.6,42.32,2.62,6.60,"907,679,027","127,320,459.04"
1 Year,ALDREES,124.00,154.4,109.6,131,7,5.65,"82,608,435","39,810,764.70"
1 Year,SISCO HOLDING,30.60,38.38,23.5,32.24,1.64,5.36,"110,109,845","4,335,425.66"
1 Year,ALRAJHI,91.00,113,87.8,95.85,4.85,5.33,"906,527,657","225,873,836.35"
1 Year,JADWA REIT SAUDI,10.40,11.38,9.7,10.95,0.55,5.29,"60,799,339","417,310.90"
1 Year,BSF,15.44,18.94,15.2,16.15,0.71,4.60,"552,676,109","38,211,694.74"
1 Year,ZAIN KSA,10.22,13.36,10.02,10.65,0.43,4.21,"852,409,562","8,283,658.77"
1 Year,DAR ALARKAN,15.28,23.94,13.84,15.89,0.61,3.99,"503,406,080","15,105,649.40"
1 Year,AL AZIZIAH REIT,3.99,4.78,3.48,4.13,0.14,3.51,"78,200,877","104,022.56"
1 Year,SABIC AGRI-NUTRIENTS,112.00,125.7,94.7,115,3,2.68,"140,438,599","30,647,485.50"
1 Year,BAWAN,49.25,63.5,42.25,50.25,1,2.03,"52,228,220","7,127,811.21"
1 Year,ALAWWAL,19.30,19.58,19,19.58,0.28,1.45,"2,622,060","30,693,634.94"
1 Year,HCC,11.46,11.7,11.36,11.6,0.14,1.22,"1,904,604","11,976,960.50"
1 Year,Sahara,17.26,17.48,16.7,17.46,0.2,1.16,"6,375,356","67,130,506.54"
1 Year,DUR,26.80,27.3,26.4,27,0.2,0.75,"222,446","4,338,476.30"
1 Year,AVALON PHARMA,120.00,140.6,108,120.7,0.7,0.58,"9,684,756","2,219,678.40"
1 Year,SABB TAKAFUL,11.50,11.98,11.5,11.5,0,0.00,"539,556","6,349,103.58"
1 Year,MMG,12.55,12.9,11.8,12.55,0,0.00,"5,310,626","66,213,259.00"
1 Year,WAFA INSURANCE,9.50,10,9.3,9.5,0,0.00,"915,571","8,767,344.86"
1 Year,ALAHLIA,14.76,15.02,14.5,14.76,0,0.00,"1,119,353","16,457,121.40"
1 Year,ATC,34.00,34.35,33.8,34,0,0.00,"263,305","8,968,049.20"
1 Year,PETROCHEM,45.45,46,45.4,45.45,0,0.00,"102,240","4,661,416.70"
1 Year,SAMBA,38.50,39.1,37.8,38.5,0,0.00,"8,954,421","343,828,273.55"
1 Year,Weqaya Takaful,19.39,19.75,19.15,19.39,0,0.00,"1,694,478","32,930,031.50"
1 Year,ALKHODARI,5.39,5.76,5.18,5.39,0,0.00,"4,609,164","25,244,810.49"
1 Year,Bishah Agriculture,69.75,81,69.75,69.75,0,0.00,"4,570,725","339,704,400.75"
1 Year,ALINMA TOKIO M,12.80,12.84,12.06,12.8,0,0.00,"765,899","9,519,564.54"
1 Year,SANAD,15.23,17.75,14.75,15.23,0,0.00,"1,572,218","25,722,117.10"
1 Year,SOLIDARITY,14.20,14.52,14.16,14.2,0,0.00,"636,038","9,053,258.36"
1 Year,UCA,8.87,11.22,3.66,3.68,-5.19,-58.51,"92,076,602","4,182,222.18"
1 Year,GULF GENERAL,10.30,13.26,4.22,4.29,-6.01,-58.35,"86,963,650","445,295.78"
1 Year,NICE ONE,45.50,69.7,19.22,19.6,-25.9,-56.92,"387,420,356","6,189,654.78"
1 Year,JAHEZ,34.20,40,15.23,15.34,-18.86,-55.15,"438,633,899","21,052,108.70"
1 Year,SAPTCO,22.14,22.68,10.09,10.26,-11.88,-53.66,"123,701,320","3,436,073.46"
1 Year,NASEEJ,92.80,115.4,42.3,43.38,-49.42,-53.25,"63,600,803","7,588,491.22"
1 Year,BANAN,8.20,9.05,3.86,3.88,-4.32,-52.68,"148,513,134","382,879.05"
1 Year,TANMIAH,128.00,133.4,59.1,61,-67,-52.34,"31,502,307","4,804,186.95"
1 Year,CHEMANOL,18.48,19.1,8.59,8.91,-9.57,-51.79,"90,583,815","2,022,129.27"
1 Year,ACWA POWER,400.44,435.36,186.2,194.5,-205.94,-51.43,"83,203,312","40,649,285.90"
