Company,RS_1Year,RS_9Months,RS_6Months,RS_3Months,RS
2P,29.0,25.0,36.0,63.0,44.0
A.OTHAIM MARKET,15.0,17.0,28.0,38.0,28.0
ABO MOATI,98.0,80.0,94.0,90.0,91.0
ACC,52.0,55.0,52.0,67.0,59.0
ACIG,25.0,7.0,6.0,24.0,18.0
ACWA POWER,4.0,8.0,10.0,41.0,21.0
ADES,77.0,90.0,99.0,94.0,91.0
ADVANCED,77.0,97.0,90.0,39.0,69.0
AICC,48.0,38.0,32.0,36.0,38.0
AL AZIZIAH REIT,91.0,93.0,62.0,83.0,83.0
AL MAATHER REIT,78.0,84.0,73.0,72.0,76.0
ALAHLI REIT 1,71.0,67.0,56.0,55.0,61.0
ALAHLIA,86.0,87.0,79.0,76.0,81.0
ALAKARIA,6.0,3.0,2.0,4.0,4.0
ALAMAR,10.0,4.0,7.0,28.0,16.0
ALANDALUS,40.0,21.0,19.0,25.0,26.0
ALARABIA,52.0,50.0,95.0,99.0,79.0
ALASEEL,48.0,55.0,32.0,48.0,47.0
ALAWWAL,90.0,87.0,79.0,76.0,82.0
ALBABTAIN,99.0,99.0,99.0,97.0,99.0
ALBILAD,66.0,52.0,75.0,81.0,71.0
ALDAWAA,26.0,38.0,5.0,18.0,21.0
ALDREES,94.0,77.0,89.0,95.0,90.0
ALETIHAD,4.0,5.0,2.0,10.0,7.0
ALHAMMADI,36.0,27.0,19.0,29.0,29.0
ALINMA,63.0,51.0,57.0,65.0,61.0
ALINMA HOSPITALITY REIT,83.0,83.0,70.0,72.0,76.0
ALINMA RETAIL REIT,72.0,77.0,66.0,65.0,69.0
ALINMA TOKIO M,86.0,87.0,79.0,76.0,81.0
ALISTITHMAR REIT,54.0,95.0,54.0,28.0,52.0
ALJAZIRA REIT,50.0,59.0,49.0,51.0,52.0
ALJOUF,31.0,42.0,53.0,47.0,44.0
ALKATHIRI,43.0,54.0,69.0,43.0,51.0
ALKHABEER REIT,82.0,82.0,71.0,66.0,74.0
ALKHALEEJ TRNG,26.0,28.0,22.0,43.0,33.0
ALKHODARI,86.0,87.0,79.0,76.0,81.0
ALMAJDIAH,46.0,39.0,19.0,6.0,24.0
ALMAJED OUD,61.0,72.0,70.0,98.0,80.0
ALMARAI,42.0,46.0,42.0,42.0,43.0
ALMASAR ALSHAMIL,80.0,78.0,66.0,56.0,68.0
ALMAWARID,98.0,83.0,76.0,94.0,89.0
ALMOOSA,96.0,96.0,94.0,73.0,87.0
ALMUNAJEM,10.0,10.0,24.0,71.0,38.0
ALOMRAN,28.0,35.0,51.0,63.0,49.0
ALRAJHI,93.0,78.0,87.0,81.0,84.0
ALRAJHI TAKAFUL,4.0,7.0,7.0,4.0,6.0
ALSAGR INSURANCE,12.0,24.0,29.0,10.0,17.0
ALSAIF GALLERY,57.0,53.0,47.0,47.0,51.0
ALUJAIN,49.0,74.0,24.0,14.0,35.0
ALYAMAMAH STEEL,83.0,81.0,92.0,61.0,76.0
AMAK,96.0,98.0,99.0,99.0,99.0
AMANA INSURANCE,12.0,11.0,12.0,15.0,13.0
AMERICANA,53.0,34.0,40.0,45.0,44.0
AMIANTIT,7.0,23.0,26.0,30.0,24.0
AMLAK,80.0,65.0,91.0,26.0,58.0
ANAAM HOLDING,5.0,14.0,31.0,14.0,16.0
ANB,95.0,92.0,87.0,71.0,84.0
APC,13.0,12.0,14.0,39.0,24.0
ARAB SEA,18.0,30.0,30.0,22.0,25.0
ARABIAN DRILLING,47.0,79.0,92.0,98.0,83.0
ARABIAN MILLS,43.0,47.0,60.0,57.0,53.0
ARABIAN SHIELD,17.0,11.0,17.0,38.0,25.0
ARDCO,76.0,40.0,21.0,5.0,30.0
ARTEX,35.0,49.0,46.0,36.0,41.0
ASLAK,41.0,44.0,61.0,54.0,51.0
ASTRA INDUSTRIAL,44.0,36.0,39.0,54.0,46.0
ATAA,51.0,57.0,67.0,52.0,56.0
ATC,86.0,87.0,79.0,76.0,81.0
AVALON PHARMA,89.0,70.0,71.0,58.0,70.0
AWPT,74.0,58.0,65.0,88.0,75.0
AYYAN,79.0,45.0,74.0,96.0,78.0
AZM,59.0,57.0,34.0,44.0,48.0
Al RAJHI REIT,81.0,82.0,71.0,70.0,75.0
BAAN,33.0,39.0,55.0,17.0,33.0
BAAZEEM,76.0,82.0,96.0,94.0,89.0
BAHRI,98.0,98.0,98.0,99.0,99.0
BANAN,2.0,7.0,35.0,24.0,19.0
BATIC,11.0,19.0,54.0,42.0,34.0
BAWAN,90.0,76.0,86.0,28.0,62.0
BCI,65.0,69.0,83.0,62.0,69.0
BINDAWOOD,31.0,29.0,23.0,33.0,30.0
BJAZ,59.0,43.0,43.0,46.0,48.0
BONYAN REIT,80.0,80.0,82.0,76.0,79.0
BSF,92.0,76.0,58.0,76.0,76.0
BUDGET SAUDI,65.0,62.0,59.0,58.0,61.0
BUILD STATION,34.0,30.0,8.0,9.0,18.0
BUPA ARABIA,35.0,60.0,30.0,70.0,53.0
BURGERIZZR,23.0,26.0,36.0,48.0,37.0
BURUJ,67.0,50.0,65.0,65.0,63.0
Bishah Agriculture,86.0,87.0,79.0,,51.0
CARE,60.0,68.0,42.0,13.0,40.0
CATRION,20.0,14.0,6.0,16.0,15.0
CENOMI CENTERS,77.0,78.0,84.0,51.0,69.0
